Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Chabot, D., V. Carignan, and D.M. Bird",2014,Measuring Habitat Quality for Least Bitterns in a Created Wetland with Use of a Small Unmanned Aircraft,Wetlands,,Birds,Ardeidae,"least bittern, Ixobrychus exilis","habitat assessment, habitat use, wetland management, disturbance, Quebec","Chabot, D., V. Carignan, and D.M. Bird. 2014. Measuring Habitat Quality for Least Bitterns in a Created Wetland with Use of a Small Unmanned Aircraft. Wetlands 34: 527-533.",Fixed-wing,Aerial Insight AI-Multi,Canon S90 10-MP camera,
"Chalmers, C., P. Fergus, and C.A.C. Montanez, S.N. Longmore, and S.A. Wich",2021,Video analysis for the detection of animals using convolutional neural networks and consumer-grade drones,Journal of Unmanned Vehicle Systems,,Mammals,,,"machine learning, species detection","Chalmers, C., P. Fergus, and C.A.C. Montanez, S.N. Longmore, and S.A. Wich. 2021. Video analysis for the detection of animals using convolutional neural networks and consumer-grade drones. Journal of Unmanned Vehicle Systems dx.doi.org/10.1139/juvs-2020-0018.",quadcopter,DJI Mavic Pro 2,,
"Chamoso, P., W. Raveane, V. Parra, and A. González",2014,UAVs Applied to the Counting and Monitoring of Animals,,Book chapter,review,,,"review, species detection, platforms, image processing, convolutional neural network","Chamoso, P., W. Raveane, V. Parra, and A. González. 2014. UAVs Applied to the Counting and Monitoring of Animals. Pages 71-80 in C. Ramos, P. Novais, C.E. Nihan, and J.M.C. Rodríguez, eds. Ambient Intelligence - Software and Applications. 5th International Symposium on Ambient Intelligence. Advances in Intelligent Systems and Computing Volume 291. Springer, Switzerland.",,,,
"Chanev, M., N. Dolapchiev, I. Kamenova, and L. Filchev",2023,Application of remote sensing methods for monitoring wildlife populations – a review,,Proceedings of SPIE,review,,,"review, population monitoring","Chanev, M., N. Dolapchiev, I. Kamenova, and L. Filchev. 2023. Application of remote sensing methods for monitoring wildlife populations – a review. Proceedings of SPIE 12786, Ninth International Conference on Remote Sensing and Geoinformation of the Environment, September 2023, Ayia Napa, Cyprus.",,,,
"Chanpradub, K., A. Pattanawibool, A. Saisamorn, N. Bhumpakphan, S. Chanthana, C. Thongsong, Y. Ouansing, W. Suksawate, and R. Sukmasuang",2023,"Abundance and habitat suitability of Siamese crocodiles (Crocodylus siamensis, Schneider 1801) in Phetchaburi River, Kaeng Krachan National Park, Thailand",Biodiversitas,,Reptiles,Crocodylidae,"Siamese crocodile, Crocodylus siamensis","species detection, Thailand","Chanpradub, K., A. Pattanawibool, A. Saisamorn, N. Bhumpakphan, S. Chanthana, C. Thongsong, Y. Ouansing, W. Suksawate, and R. Sukmasuang. 2023. Abundance and habitat suitability of Siamese crocodiles (Crocodylus siamensis, Schneider 1801) in Phetchaburi River, Kaeng Krachan National Park, Thailand. Biodiversitas 24, https://doi.org/10.13057/biodiv/d240916.",quadcopter,DJI Mavic AIR 2S,,
"Chapman, A.",2014,It’s okay to call them drones,Journal of Unmanned Vehicle Systems,,Editorial,,,terminology,"Chapman, A. 2014. It’s okay to call them drones. Journal of Unmanned Vehicle Systems 2: iii-v.",,,,
"Charbonneau, P. and J. Lemaître",2021,Revue des applications et de l’utilité des drones en conservation de la faune [Review of the applications and usefulness of drones in wildlife conservation],Le Naturaliste Canadien,,Review,,,"Review, surveys, disturbance, behavior","Charbonneau, P. and J. Lemaître. 2021. Revue des applications et de l’utilité des drones en conservation de la faune [Review of the applications and usefulness of drones in wildlife conservation]. Le Naturaliste Canadien. https://doi.org/10.7202/1080620ar. [in French w/Eng translation]",,,,
"Charbonneau, P., J. Lemaître, and G. Tremblay",in press,Contribution du drone aux suivis de la productivité de l’aigle royal et du faucon pèlerin,Le Naturaliste Canadien,,Birds,Accipitridae,"golden eagle, Aquila chrysaetos, peregrine falcon, Falco peregrinus ","nest monitoring, disturbance, Quebec","Charbonneau, P., J. Lemaître, and G. Tremblay. In press. Contribution du drone aux suivis de la productivité de l’aigle royal et du faucon pèlerin [Contribution of the drone to monitoring the productivity of the golden eagle and the peregrine falcon]. Le Naturaliste Canadien [in French with English abstract]",quadcopter,DJI Matrice 300 RTK,DJI Zenmuse H20T,
"Charbonneau, P., S. Labrecque, J. Lemaître, P. Cote, and P. Lamarre",2022,Recueil des protocoles standardisés pour le suivi de la nidification et de la productivité du faucon pèlerin au Québec,,"Ministère de L’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Birds,Accipitridae,"peregrine falcon, Falco peregrinus ","nest monitoring, best practices, disturbance, Quebec","Charbonneau, P., S. Labrecque, J. Lemaître, P. Cote, and P. Lamarre. 2022. Recueil des protocoles standardisés pour le suivi de la nidification et de la productivité du faucon pèlerin au Québec [Collection of standardized protocols for monitoring the nesting and productivity of the peregrine falcon in Quebec]. Ministère de L’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs. December. [in French with English translation]",,,,
"Charbonneau, P., S. Labrecque, J. Lemaître, P. Lamarre, A. Anctil, P. Beaupre, and J. Labonte",2023,Recueil des protocoles standardisés pour le suivi de la nidification et de la productivité de l’aigle royal au Québec,,"Ministère de L’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Birds,Accipitridae,"golden eagle, Aquila chrysaetos","nest monitoring, best practices, disturbance, Quebec","Charbonneau, P., S. Labrecque, J. Lemaître, P. Lamarre, A. Anctil, P. Beaupre, and J. Labonte. 2023. Recueil des protocoles standardisés pour le suivi de la nidification et de la productivité de l’aigle royal au Québec [Collection of standardized protocols for monitoring the nesting and productivity of the golden eagle in Quebec]. Ministère de L’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs. November. [in French with English translation]",,,,
"Chen, A., M. Jacob, G. Shoshani, and M. Charter",2022,"Using computer vision, image analysis and UAVs for the automatic recognition and counting of common cranes (Grus grus)",Journal of Environmental Management,,Birds,Gruidae,"common crane, Grus grus","species detection, thermal detection, Israel","Chen, A., M. Jacob, G. Shoshani, and M. Charter. 2022. Using computer vision, image analysis and UAVs for the automatic recognition and counting of common cranes (Grus grus). Journal of Environmental Management https://doi.org/10.1016/j.jenvman.2022.116948.",quadcopter,"DJI Matrice 600 Pro, DJI Mavic 2 Pro","Flir A655SC camera, 20-MP RGB camera",
"Chen, F., H.V. Nguyen, D.A. Taggart, K. Falkner, S.H. Rezatofighi, and D.C. Ranasinghe",preprint,ConservationBots: Autonomous Aerial Robot for Fast Robust Wildlife Tracking in Complex Terrains,,,Mammals,Vombatidae,"southern hairy-nosed wombat, Lasiorhinus
latifrons","radiotelemetry, accuracy, signal detection, localization","Chen, F., H.V. Nguyen, D.A. Taggart, K. Falkner, S.H. Rezatofighi, and D.C. Ranasinghe. Preprint. ConservationBots: Autonomous Aerial Robot for Fast Robust Wildlife Tracking in Complex Terrains. ",quadcopter,ConservationBot,,
"Cheney, B.J., J. Dale, P.M. Thompson, and N.J. Quick",2022,Spy in the sky: a method to identify pregnant small cetaceans,Remote Sensing in Ecology and Conservation,,Marine mammals,Delphinidae,"bottlenose dolphin, Tursiops truncatus","species identification, morphometrics, Scotland","Cheney, B.J., J. Dale, P.M. Thompson, and N.J. Quick. 2022. Spy in the sky: a method to identify pregnant small cetaceans. Remote Sensing in Ecology and Conservation https://doi.org/10.1002/rse2.258.",hexacopter,LemHex-44,24-MP Sony E camera,
"Cherney, M.",2017,"Bold Eagles: Angry Birds Are Ripping $80,000 Drones Out of the Sky",Wall Street Journal,,Birds,Accipitridae,"wedge-tailed eagle, Aquila audax","deterence, Australia","Cherney, M. 2017. Bold Eagles: Angry Birds Are Ripping $80,000 Drones Out of the Sky. Wall Street Journal, Sep. 29. https://www.wsj.com/articles/bold-eagles-angry-birds-are-ripping-80-000-drones-out-of-the-sky-1506701429.",,,,
"Chin, J.",2020,"The Seaside Heermann's Gulls - Range Expansion and Citizen Science: Fundraising, ingenuity, and a bit of help from a drone",Birding,,Birds,Laridae,"Heermann's gull, Larus heermanni","nest monitoring, disturbance, California","Chin, J.. 2020. The Seaside Heermann's Gulls - Range Expansion and Citizen Science: Fundraising, ingenuity, and a bit of help from a drone. Birding 52(2):30-43.",,,,
"Chirayath, V. and S.A. Earle",2016,Drones that see through waves – preliminary results from airborne fluid lensing for centimetre-scale aquatic conservation,Aquatic Conservation: Marine and Freshwater Ecosystems,,review,,,"marine assessment, Australia","Chirayath, V. and S.A. Earle. 2016. Drones that see through waves – preliminary results from airborne fluid lensing for centimetre-scale aquatic conservation. Aquatic Conservation: Marine and Freshwater Ecosystems 26 (Suppl. 2): 237–250.",quadcopter,custom-built,video camera,
"Chisholm, R.A., J. Cui, S.K.Y. Lum, and B.M. Chen",2013,UAV LiDAR for below-canopy forest surveys,Journal of Unmanned Vehicle Systems,,Vegetation,,,"dbh estimate, Singapore","Chisholm, R.A., J. Cui, S.K.Y. Lum, and B.M. Chen. 2013. UAV LiDAR for below-canopy forest surveys. Journal of Unmanned Vehicle Systems 1: 61–68.",Quadcopter,Custom,Hokuyo UTM-30LX LiDAR,
"Choi, C.",2020,Mimicking Biology for Better Drones,Inside Unmanned Systems,,Platform,,,"review, platforms","Choi, C. 2020. Mimicking Biology for Better Drones. Inside Unmanned Systems December 2020/January 2021: 50-53.",,,,na
"Choi, H.I., H.-K. Nam, and J. Yoon",2020,Testing the potential of lightweight drones as a tool for monitoring the status of colonially breeding Saunders's gulls (Saundersilarus saundersi),Korean Journal of Ornithology,,Birds,Laridae,"Saunders's gull, Saundersilarus saundersi","species detection, nest monitoring, population census, South Korea","Choi, H.I., H.-K. Nam, and J. Yoon. 2020. Testing the potential of lightweight drones as a tool for monitoring the status of colonially breeding Saunders's gulls (Saundersilarus saundersi). Korean Journal of Ornithology 27: 10-16.",quadcopter,DJI Mavic Pro,12-MP camera,
"Chowdhury, S., M. Marufuzzaman, H. Tunc, L. Bian, and W. Bullington",2019,A modified Ant Colony Optimization algorithm to solve a dynamic traveling salesman problem: A case study with drones for wildlife surveillance,Journal of Computational Design and Engineering,,Data analysis,,,"Data analysis, data capture","Chowdhury, S., M. Marufuzzaman, H. Tunc, L. Bian, and W. Bullington. 2019. A modified Ant Colony Optimization algorithm to solve a dynamic traveling salesman problem: A case study with drones for wildlife surveillance. Journal of Computational Design and Engineering 6: 368–386.",,,,
"Chrétien, L.-P., J. Théau, and P. Ménard",2015,Wildlife Multispecies Remote Sensing Using Visible and Thermal Infrared Imagery Acquired from an Unmanned Aerial Vehicle (UAV),,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Mammals,"Bovidae, Canidae, Cervidae","American bison, Bison bison, fallow deer, Dama dama, gray wolf,  Canis lupus, elk. Cervis canadensis (captive)","species detection, population estimate, Quebec","Chrétien, L.-P., J. Théau, and P. Ménard. 2015. Wildlife Multispecies Remote Sensing Using Visible and Thermal Infrared Imagery Acquired from an Unmanned Aerial Vehicle (UAV). The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume XL-1/W4: 241-248. International Conference on Unmanned Aerial Vehicles in Geomatics, August 30–September 2, 2015, Toronto, Canada.",Helicopter,ING Robotic Aviation Responder ,FLIR Systems Tau640 and Nikon D7000 camera,
"Chretien, L-P., J. Theau, and P. Menard",2016,Visible and Thermal Infrared Remote Sensing for the Detection of White-tailed Deer Using an Unmanned Aerial System,Wildlife Society Bulletin,,Mammals,Cervidae,"white-tailed deer, Odocoileus virginianus ","species detection, population estimate, Quebec","Chretien, L-P., J. Theau, and P. Menard. 2016. Visible and Thermal Infrared Remote Sensing for the Detection of White-tailed Deer Using an Unmanned Aerial System. Wildlife Society Bulletin 40: 181-191.",Helicopter,ING Robotic Aviation Responder,"Tau640 TIR, Nikon D700 camera",
"Christiansen, F., A.M. Dujon, K.R. Sprogis, J.P.Y. Arnould, and L. Bejder",2016,Noninvasive unmanned aerial vehicle provides estimates of the energetic cost of reproduction in humpback whales,Ecosphere,,Marine mammals,Balaenopteridae,"humpback whale, Megaptera novaeangliae","body condition, morphometrics, Australia","Christiansen, F., A.M. Dujon, K.R. Sprogis, J.P.Y. Arnould, and L. Bejder. 2016. Noninvasive unmanned aerial vehicle provides estimates of the energetic cost of reproduction in humpback whales. Ecosphere 7(10):e01468.10.1002/ecs2.1468",Quadcopter,Splashdrone,Canon PowerShot D30; GoPro Hero4,
"Christiansen, F., F. Vivier, C. Charlton, R. Ward, A. Amerson, S. Burnell, and L. Bejder",2018,Maternal body size and condition determine calf growth rates in southern right whales,Marine Ecology Progress Series,,Marine mammals,Balaenidae,"southern right whale, Eubalaena australis","morphometrics, species detection, Australia","Christiansen, F., F. Vivier, C. Charlton, R. Ward, A. Amerson, S. Burnell, and L. Bejder. 2018. Maternal body size and condition determine calf growth rates in southern right whales. Marine Ecology Progress Series 592: 267–282.",quadcopter,DJI Inspire 1 Pro,DJI Zenmuse X5 micro four-thirds 16-MP camera,x
"Christiansen, F., K.R. Sprogis, J. Gross, J. Castrillon, H.A. Warick, E. Leunissen, and S.B. Nash",2020,Variation in outer blubber lipid concentrations does not reflect morphological body condition in humpback whales,Journal of Experimental Biology,,Marine mammals,Balaenopteridae,"humpback whale, Megaptera novaeangliae","morphometrics, Australia","Christiansen, F., K.R. Sprogis, J. Gross, J. Castrillon, H.A. Warick, E. Leunissen, and S.B. Nash. 2020. Variation in outer blubber lipid concentrations does not reflect morphological body condition in humpback whales. Journal of Experimental Biology 2020 223: jeb213769 doi: 10.1242/jeb.213769.",quadcopter,DJI Inspire 1 Pro,DJI Zenmuse X5 camera,
"Christiansen, F., L. Bejder, S. Burnell, R. Ward, and C. Charlton",2022,Estimating the cost of growth in southern right whales from drone photogrammetry data and long-term sighting histories,Marine Ecology Progress Series,,Marine mammals,Balaenidae,"southern right whale, Eubalaena australis","morphometrics, species detection, Australia","Christiansen, F., L. Bejder, S. Burnell, R. Ward, and C. Charlton. 2022. Estimating the cost of growth in southern right whales from drone photogrammetry data and long-term sighting histories. Marine Ecology Progress Series 687. https://doi.org/10.3354/meps14009.",quadcopter,DJI Inspire 1 Pro,16-MP Zenmuse X5 camera,
"Christiansen, F., L. Rojano-Doñate, P.T. Madsen, and L. Bejder",2016,Noise Levels of Multi-Rotor Unmanned Aerial Vehicles with Implications for Potential Underwater Impacts on Marine Mammals,Frontiers in Marine Science,,Marine mammals,,,"disturbance, acoustic effects, in-air noise, underwater noise, Australia","Christiansen, F., L. Rojano-Doñate, P.T. Madsen, and L. Bejder. 2016. Noise Levels of Multi-Rotor Unmanned Aerial Vehicles with Implications for Potential Underwater Impacts on Marine Mammals. Frontiers in Marine Science 3:277. doi: 10.3389/fmars.2016.00277.",Quadcopter,SwellPro Splashdrone; DJI Inspire 1 Pro,,
"Christiansen, F., M. Sironi, M.J. Moore, M. Di Martino, M. Ricciardi, H.A. Warick, D.J. Irschick, R. Gutierrez, and M.M. Uhart",2019,Estimating body mass of free‐living whales using aerial photogrammetry and 3D volumetrics,Methods in Ecology and Evolution,,Marine mammals,Balaenidae,"southern right whale, Eubalaena australis","body condition, morphometrics, Argentina ","Christiansen, F., M. Sironi, M.J. Moore, M. Di Martino, M. Ricciardi, H.A. Warick, D.J. Irschick, R. Gutierrez, and M.M. Uhart. 2019. Estimating body mass of free‐living whales using aerial photogrammetry and 3D volumetrics. Methods in Ecology and Evolution 10: 2034-2044.",Quadcopter,DJI Inspire 1 Pro,DJI Zenmuse X5 16-MP camera,
"Christiansen, F., M.L.K. Nielsen, C. Charlton, L. Bejder, and P.T. Madsen",2020,Southern right whales show no behavioral response to low noise levels from a nearby unmanned aerial vehicle,Marine Mammal Science,,Marine mammals,Balaenidae,"southern right whale, Eubalaena australis","disturbance, noise, acoustic effects, Australia","Christiansen, F., M.L.K. Nielsen, C. Charlton, L. Bejder, and P.T. Madsen. 2020. Southern right whales show no behavioral response to low noise levels from a nearby unmanned aerial vehicle. Marine Mammal Science 36: 953-963.",Quadcopter,DJI Inspire 1 Pro,,
"Christiansen, F., S.M. Dawson, J.W. Durban, H. Fearnbach, C.A. Miller, L. Bejder, M. Uhart, M. Sironi, P. Corkeron, W. Rayment, E. Leunissen, E. Haria, R. Ward, H.A. Warick, I. Kerr, M.S. Lynn, H.M. Pettis, and M.J. Moore",2020,Population comparison of right whale body condition reveals poor state of the North Atlantic right whale,Marine Ecology Progress Series,,Marine mammals,Balaenidae,"North Atlantic right whale, Eubalaena glacialis","morphometrics, health, population assessment, Massachusetts, Florida, Australia, New Zealand, Argentina","Christiansen, F., S.M. Dawson, J.W. Durban, H. Fearnbach, C.A. Miller, L. Bejder, M. Uhart, M. Sironi, P. Corkeron, W. Rayment, E. Leunissen, E. Haria, R. Ward, H.A. Warick, I. Kerr, M.S. Lynn, H.M. Pettis, and M.J. Moore. 2020. Population comparison of right whale body condition reveals poor state of the North Atlantic right whale. Marine Ecology Progress Series 640: 1–16.","1) hexacopter
2) quadcopter","1) APH-22
2) DJI Inspire 1 Pro","1) Olympus E-PM2 camera
2) Zenmuse X5 camera",x
"Christie, A.I., A.P. Colefax, and D. Cagnazzi",2022,Feasibility of Using Small UAVs to Derive Morphometric Measurements of Australian Snubfin (Orcaella heinsohni) and Humpback (Sousa sahulensis) Dolphins,Remote Sensing,,Marine mammals,Delphinidae,"Australian snubfin dolphin, Orcaella heinsohni, humpback dolphin, Sousa sahulensis ","morphometrics, disturbance, Australia","Christie, A.I., A.P. Colefax, and D. Cagnazzi. 2022. Feasibility of Using Small UAVs to Derive Morphometric Measurements of Australian Snubfin (Orcaella heinsohni) and Humpback (Sousa sahulensis) Dolphins. Remote Sensing https://doi.org/10.3390/rs14010021.",quadcopter,DJI Phantom 4 Pro,20-MP camera,x
"Christie, K.S., S.L. Gilbert, C.L. Brown, M. Hatfield, and L. Hanson",2016,Unmanned aircraft systems in wildlife research: current and future applications of a transformative technology,Frontiers in Ecology and the Environment,,review,,,review,"Christie, K.S., S.L. Gilbert, C.L. Brown, M. Hatfield, and L. Hanson. 2016. Unmanned aircraft systems in wildlife research: current and future applications of a transformative technology. Frontiers in Ecology and the Environment 14: 241–251.",,,,
"Chung, T.Y., H.H. Ho, H.C. Tsui, and B.C. Kot",2022,First Unmanned Aerial Vehicle Observation of Epimeletic Behavior in Indo-Pacific Humpback Dolphins,Animals,,Marine mammals,Delphinidae,"Indo-Pacific humpback dolphin, Sousa chinensis","behavior, China","Chung, T.Y., H.H. Ho, H.C. Tsui, and B.C. Kot. 2022. First Unmanned Aerial Vehicle Observation of Epimeletic Behavior in Indo-Pacific Humpback Dolphins. Animals https://doi.org/10.3390/ani12111463.",quadcopter,DJI Phantom 4 Pro,RGB camera,
"Church, J.S.",2022,Use of Unmanned Aerial Vehicles for Applied Animal Ethology,,"12th International Conference on Methods and Techniques in Behavioral Research, and 6th Seminar on Behavioral Methods",review,,,"review, data management, data processing","Church, J.S. 2022. Use of Unmanned Aerial Vehicles for Applied Animal Ethology. Pages 234-237 in A. Spink, J. Barski, A.-M. Brouwer, G. Riedel, and A. Sil, eds. Volume 2 of the Proceedings of the Joint 12th International Conference on Methods and Techniques in Behavioral Research and 6th Seminar on Behavioral Methods held online, May 18-20, 2022. https://doi.org/10.6084/m9.figshare.20066849.",,,,
"Cicoria, J. ",2019,Efficacy of Robotic Falcons as a Bird Strike Reduction Tool at Major International Airports,,North American Bird Strike Conference,Birds,,,"bird strike, disturbance, human-wildlife conflict, hazing, North Dakota, Alberta","Cicoria, J. 2019. P6-Efficacy of Robotic Falcons as a Bird Strike Reduction Tool at Major International Airports. Poster Abstract. Page 15 in Conference Program for 2019 North American Bird Strike Conference, August 12-15, 2019, Halifax, Nova Scotia, Canada.",fixed-wing,Robird,,
"Claridge, D., C. Dunn, J. Durban, H. Fearnbach, and W. Perryman",2015,Photogrammetry with an Unmanned Aerial System to Assess Body Condition and Growth of Blainville's Beaked Whales,,Unpublished NOAA Technical Report,Marine mammals,Ziphiidae,"Blainville’s beaked whale, Mesoplodon densirostris","morphometrics, health, Bahamas","Claridge, D., C. Dunn, J. Durban, H. Fearnbach, and W. Perryman. 2015. Photogrammetry with an Unmanned Aerial System to Assess Body Condition and Growth of Blainville's Beaked Whales.Unpublished Technical Report, Southwest Fisheries Science Center, NMFS, La Jolla, CA. Available at:  https://apps.dtic.mil/sti/pdfs/AD1014009.pdf. ",Hexacopter,APH-22,,
"Clarke, L.J., R.A. Hill, A. Ford, R.J.H. Herbert, L.S. Esteves, and R.A. Stillman",2019,Using remote sensing to quantify fishing effort and predict shorebird conflicts in an intertidal fishery,Ecological Informatics,,Birds,"Anatidae, Charadriidae, Haematopodidae","Eurasian oystercatcher, Haematopus ostralegus, Eurasian curlew, Numenius arquatus, black-tailed godwit, Limosa limosa, common redshank, Tringa totanus, common shelduck, Tadorna tadorna","human-wildlife conflict, habitat monitoring, United Kingdom","Clarke, L.J., R.A. Hill, A. Ford, R.J.H. Herbert, L.S. Esteves, and R.A. Stillman. 2019. Using remote sensing to quantify fishing effort and predict shorebird conflicts in an intertidal fishery. Ecological Informatics 50: 136–148.",quadcopter,DJI Phantom 3 Pro,,
"Cleguer, C., N. Kelly, J. Tyne, M. Wieser, D. Peel, and A. Hodgson",2021,A Novel Method for Using Small Unoccupied Aerial Vehicles to Survey Wildlife Species and Model Their Density Distribution,Frontiers in Marine Science,,Marine mammals,Dugongidae,"dugong, Dugong dugon","species distribution, species density, wildlife monitoring, Australia","Cleguer, C., N. Kelly, J. Tyne, M. Wieser, D. Peel, and
A. Hodgson. 2021. A Novel Method for Using Small Unoccupied Aerial Vehicles to Survey Wildlife Species and Model Their Density Distribution. Frontiers in Marine Science  https://doi.org/10.3389/fmars.2021.640338.",quadcopter,Phantom 4 Pro,,x
"Cliff, O.M., D.L. Saunders, and R. Fitch",2018,Robotic ecology: Tracking small dynamic animals with an autonomous aerial vehicle,Science Robotics,,Birds,Psittaculidae,"swift parrot, Lathamus discolor","radiotelemetry, tracking, ","Cliff, O.M., D.L. Saunders, and R. Fitch. 2018. Robotic ecology: Tracking small dynamic animals with an autonomous aerial vehicle. Science Robotics 3. DOI: 10.1126/scirobotics.aat8409. ",Octocopter,Ascending Technologies Falcon 8,,
"Cline, E.E., T.M. Gehring, and D.R. Etter",2022,Evaluating unoccupied aerial vehicles for estimating relative abundance of muskrats,Wildlife Society Bulletin,,Mammals,Cricetidae,"muskrat, Ondatra zibethicus","species detection, population estimate, Michigan","Cline, E.E., T.M. Gehring, and D.R. Etter. 2022. Evaluating unoccupied aerial vehicles for estimating relative abundance of muskrats. Wildlife Society Bulletin https://doi.org/10.1002/wsb.1306.",quadcopter,DJI Matrice 210 V2,Zenmuse X5S 21-MP camera and Zenmuse XT FLIR,
"Clothier, R.A., D.A. Greer, D.G. Greer, and A.M. Mehta",2015,Risk Perception and the Public Acceptance of Drones,Risk Analysis,,review,,,review,"Clothier, R.A., D.A. Greer, D.G. Greer, and A.M. Mehta. 2015. Risk Perception and the Public Acceptance of Drones. Risk Analysis 35: 1167-1183.",,,,
"Çoban, S. and T. Oktay",2018,Legal and Ethical Issues of Unmanned Aerial Vehicles,Journal of Aviation,,review,,,"review, ethics, regulations","Çoban, S. and T. Oktay. 2018. Legal and Ethical Issues of Unmanned Aerial Vehicles. Journal of Aviation 2: 31-35.",,,,
"Colefax, A.P.",2020,Developing the use of drones for non-destructive shark management and beach safety,,Dissertation,Fish,,,"behavior, human-wildlife conflict, Australia","Colefax, A.P. 2020. Developing the use of drones for non-destructive shark management and beach safety. Dissertation. Southern Cross University, Australia.",quadcopter,DJI Phantom 4,,
"Colefax, A.P., A.J. Walsh, C.R. Purcell, and P. Butcher",2023,Utility of Spectral Filtering to Improve the Reliability of Marine Fauna Detections from Drone-Based Monitoring,Sensors,,Marine mammals,Delphinidae,"dolphins, Tursiops spp.","species detection, Australia","Colefax, A.P., A.J. Walsh, C.R. Purcell, and P. Butcher. 2023. Utility of Spectral Filtering to Improve the Reliability of Marine Fauna Detections from Drone-Based Monitoring. Sensors https://doi.org/10.3390/s23229193.",quadcopter,DJI Phantom 4 Pro,GoPro Hero8 camera,
"Colefax, A.P., B.P. Kelaher, A.J. Walsh, C.R. Purcell,
D.E. Pagendam, D. Cagnazzi, and P.A. Butcher",2021,Identifying optimal wavelengths to maximise the detection rates of marine fauna from aerial surveys,Biological Conservation,,"fish, marine mammals","Lamnidae, Delphinidae, Rhinopteridae, Myliobatidae, Rhinobatidae, Carangidae","white shark, Carcharodon carcharias, Indo-Pacific bottlenose dolphin, Tursiops aduncus, Australian cownose ray,  Rhinoptera neglecta, spotted eagle ray, Aetobatus narinari, white-spotted guitarfish, Rhynchobatus australiae, yellowtail amberjack, Seriola lalandi","species detection, sensors, hyperspectral, Australia","Colefax, A.P., B.P. Kelaher, A.J. Walsh, C.R. Purcell,
D.E. Pagendam, D. Cagnazzi, and P.A. Butcher. 2021. Identifying optimal wavelengths to maximise the detection rates of marine fauna from aerial surveys. Biological Conservation https://doi.org/10.1016/j.biocon.2021.109102.",quadcopter,DJI Matrice M600,Specim FX10 hyperspectral pushbroom sensor,
"Colefax, A.P., B.P. Kelaher, D.E. Pagendam, and P.A. Butcher",2020,Assessing White Shark (Carcharodon carcharias) Behavior Along Coastal Beaches for Conservation-Focused Shark Mitigation,Frontiers in Marine Science,,Fish,Lamnidae,"white shark, Carcharodon carcharias","behavior, human-wildlife conflict, Australia","Colefax, A.P., B.P. Kelaher, D.E. Pagendam, and P.A. Butcher. 2020. Assessing White Shark (Carcharodon carcharias) Behavior Along Coastal Beaches for Conservation-Focused Shark Mitigation. Frontiers in Marine Science 7:268. doi: 10.3389/fmars.2020.00268.",quadcopter,DJI Phantom 4,,
"Colefax, A.P., P.A. Butcher, and B.P. Kelaher",2018,The potential for unmanned aerial vehicles (UAVs) to conduct marine fauna surveys in place of manned aircraft,ICES Journal of Marine Science,,Marine mammals,,,review,"Colefax, A.P., P.A. Butcher, and B.P. Kelaher. 2018. The potential for unmanned aerial vehicles (UAVs) to conduct marine fauna surveys in place of manned aircraft. ICES Journal of Marine Science 75: 1–8.",,,,
"Colefax, A.P., P.A. Butcher, D.E. Pagendam, and B.P. Kelaher",2020,"Comparing distributions of white, bull, and tiger sharks near and away from the surf break using three tech-based methods",Ocean and Coastal Management,,Fish,"Lamnidae, Carcharhinidae","white shark, Carcharodon carcharias, bull shark, Carcharhinus leucas, tiger shark, Galeocerdo cuvier","behavior, human-wildlife conflict, Australia","Colefax, A.P., P.A. Butcher, D.E. Pagendam, and B.P. Kelaher. 2020. Comparing distributions of white, bull, and tiger sharks near and away from the surf break using three tech-based methods. Ocean and Coastal Management 198. https://doi.org/10.1016/j.ocecoaman.2020.105366.",,,,
"Colefax, A.P., P.A. Butcher, D.E. Pagendam, and B.P. Kelaher",2019,Reliability of marine faunal detections in drone-based monitoring,Ocean and Coastal Management,,"Fish, reptiles","Lamnidae, Cheloniidae, Delphinidae, Mobulidae, Rhinobatidae","white shark, Carcharodon carcharias, bull shark, Carcharhinus leucas, whaler shark, Carcharhinus spp., bottlenose dolphin, Tursiops spp, white spotted guitarfish, Aetobatus ocellatus, southern eagle ray, Myliobatis spp., manta ray, Manta alfredi, cownose ray, Rhinoptera neglecta, green turtle, Chelonia mydas, loggerhead turtle, Caretta caretta","shark survey, coastal monitoring, human-wildlife conflict, Australia","Colefax, A.P., P.A. Butcher, D.E. Pagendam, and B.P. Kelaher. 2019. Reliability of marine faunal detections in drone-based monitoring. Ocean and Coastal Management 174: 108–115.",Quadcopter,DJI Phantom 4,,
"Collins, M.D.",2018,Using a Drone to Search for the Ivory-Billed Woodpecker (Campephilus principalis),Drones,,birds,Picidae,"ivory-billed woodpecker, Campephilus principalis","species detection, Louisiana",Using a Drone to Search for the Ivory-Billed Woodpecker (Campephilus principalis),quadcopter,DJI Phantom 3 Professional,RGB camera,
